1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.258342495478668965e+01;1.743861798739238012e+01;4.704300043656753361e-03
1.089901936901500257e+01;1.761318708583128512e+01;4.899400087786402215e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
-1.539161869464542676e+01;1.986338557593382603e+01;2.279286127796282743e-02
-1.788712053488874076e+01;1.197419752298957540e+01;2.380220538381724177e-02
-2.193532623682836302e+00;7.537594016087392212e+00;1.174780980009246766e-02
-9.433907818985005633e-01;3.491094015146725127e+00;1.214597315545909960e-02
4.992897221886357428e+00;3.633030864572177165e+00;8.425136599557925612e-03
9.762270723630265934e+00;6.541277698664883289e+00;4.375815275479282528e-03
1.082461020903344995e+01;3.760572095468008413e+00;6.281026930908614400e-03
1.272393987440777430e+01;6.873081711221082912e+00;3.776579425652501053e-03
1.366110342782388898e+01;8.097872611911496321e+00;3.057894569215731211e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.317753138192080087e+01;1.099169109588171089e+01;1.041197174283741951e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.628498272386644885e+01;1.157167958252913387e+01;3.412259955492033536e-03
1.622573423479524379e+01;1.278603340085090601e+01;3.503837527226359022e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.583517603334743562e+01;1.908672809334265352e+01;6.726969888919242212e-03
1.303573825918183893e+01;1.739122888124798294e+01;4.716244944317752111e-03
1.138312250166229767e+01;1.754076880324936383e+01;4.787914348283746346e-03
1.122023497598287989e+01;1.302828846097301074e+01;1.323893156594050475e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
-1.045402377692640528e+01;2.029298370499822468e+01;1.918550127834114938e-02
-1.912817071550262327e+01;1.440036522045587475e+01;2.489118216074497764e-02
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
3.762976941618504156e+00;3.606769964420343477e+00;9.117940837895865264e-03
9.006404311627829173e+00;6.144880719083384513e+00;4.927271522662066833e-03
1.015283131492834734e+01;3.737638902939955265e+00;6.400475937518603636e-03
1.239362084875665637e+01;3.812495194202023541e+00;6.177504458513291032e-03
1.334889247546203173e+01;8.101223250980162049e+00;2.956362913597240100e-03
1.456105291559731540e+01;8.124563882126100367e+00;3.412259955492033536e-03
1.313064686696977645e+01;1.084547723773055239e+01;1.065086975605739669e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.624748274732004205e+01;1.241406946914685783e+01;3.450085474251862912e-03
1.616074476877403754e+01;1.371889909107908068e+01;3.732781456562171869e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.350549644230731161e+01;1.730087825382517508e+01;4.726199028201917736e-03
1.185752874543993940e+01;1.749328784104284296e+01;4.726199028201917736e-03
1.132012198781435508e+01;1.318338040035171943e+01;1.401535010890543435e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
9.275103029906130558e+00;1.372456203947353792e+01;2.771216953351756437e-03
-6.340633859921453563e+00;2.048058915338650365e+01;1.624108326540490629e-02
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
-1.500916048940831971e+01;8.654486843145523522e+00;2.163221509706909906e-02
-1.483471531898963747e+00;5.921375611188749666e+00;1.163831487736664318e-02
2.141444020407812232e+00;3.581618068236276820e+00;1.009941350887461238e-02
8.418910906397714555e+00;6.180438617352089992e+00;5.146261368113714922e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.176060275542502431e+01;3.773681840734768755e+00;6.203385076612121657e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.315520374366873213e+01;1.074285372121612703e+01;1.126802295687567628e-03
1.324639552822172739e+01;1.111784241709470855e+01;1.053142074944740702e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.626168135905332690e+01;1.211368450614807912e+01;3.422214039376199595e-03
1.619382028100167759e+01;1.337569771900150428e+01;3.639213068051013692e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.390862769069043559e+01;1.721140184157752273e+01;4.750088829523916104e-03
1.226263044538001701e+01;1.743413000573530169e+01;4.682401059111588118e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
-1.513112419608670933e+01;1.813939297117197214e+01;2.223145094689588097e-02
-1.710542558248553746e+01;1.030452410642147143e+01;2.319898790043679535e-02
-1.930727047894537307e+00;6.735478019216520451e+00;1.173984653298513516e-02
6.538535701511616338e-01;3.508758188918559284e+00;1.107889536307652550e-02
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.009943916026173305e+01;6.556290718184957456e+00;4.262338719199791799e-03
1.126857046096794690e+01;3.776795112213111594e+00;6.225284061157286032e-03
1.298597522575072638e+01;6.882795881596831755e+00;3.806441677304998796e-03
1.387815984782942458e+01;8.099304693502663355e+00;3.135536423512224388e-03
1.528681887821599616e+01;8.169009913123783662e+00;3.760652891437836053e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.353263478093388983e+01;1.132863642300605100e+01;1.234306401636558114e-03
1.627882270046443480e+01;1.178997750862257732e+01;3.412259955492033536e-03
1.621371158697389703e+01;1.300625277046728456e+01;3.547635496316688206e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.276997378459764221e+01;1.743727609871217865e+01;4.720226577871418361e-03
1.112365782860516106e+01;1.754871918013167686e+01;4.819767416713076347e-03
1.117164143161424938e+01;1.298121263933072989e+01;1.309957439156218166e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
-1.285963829038106709e+01;2.028106466800044672e+01;2.097922719426782365e-02
-1.854455463151974826e+01;1.335905389839321167e+01;2.436560653166102569e-02
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
4.250491232953755194e+00;3.640944752127860617e+00;8.823299954924557556e-03
9.223538295785093766e+00;6.139729076317298251e+00;4.849629668365574089e-03
1.037838924177786382e+01;3.746502820966181702e+00;6.354687151651441761e-03
1.260233381336594860e+01;3.800846578437002243e+00;6.197412626281621414e-03
1.343932898691124223e+01;8.094515995131084551e+00;2.988215982026570534e-03
1.468654928530194326e+01;8.148292622521310591e+00;3.458048741359196279e-03
1.313373738024472637e+01;1.088395381243819138e+01;1.051151258167907577e-03
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
1.200000000000000000e+01;1.156000000000000050e+01;0.000000000000000000e+00
